Objet ,Visite des lieux ,Soumission électronique ,Secteur ,Téléchargement,Ville d'exécution ,Adresse retrait ,Allotissement ,Contact ,Budget ,Mode paiement ,Obsérvation ,Support,Domaine ,Type ,Organisme ,Montant retrait ,Mt caution 
L'achat et l'installation du matériel et logiciels pour la mise en place d'une infrastructure hyperconvergée pour le compte du conseil national des droits de l'homme à rabat région rabat-salé-kénitra.,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488346.zip,- Kenitra- Sale- Rabat,,,Sara Jaljal - Téléphone: 0537540000 - Email: s.jaljal@cndh.org.ma - Télécopieur: 0537540001,"1.200.000,00 MAD | ", | 22/09/2025 16:30,Budget en TTC // les prospectus exigés au plus tard le jour ouvrable précédant la date d'ouverture des plis à savoir le 22/09/2025 à 16h30,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/02 | Liberation | 25/08/2025 | 18/02",,National,Conseil Consultatif des Droits de l'Homme, | ---,"20.000,00 MAD | ---"
Projets intégrés de restructuration des quartiers sous equipés (travaux d'enrobés).,--- | Demander D.A.O,Oui,"Secteur Qualification Classe
B B6 5 | B | B6 | 5",,- Ifrane,,,,"1.419.000,00 MAD | ", | 22/09/2025,budget et caution en TTC - les documents techniques doivent etre déposés au plus tard le jour ouvrable précédant la date d'ouverture des plis ( à vérifier ),"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/03 | L'opinion | 25/08/2025 | 19/03",,National,Region de fes - meknes /Province d'ifrane, | ---,"28.000,00 MAD | ---"
Achat de matériels informatiques et de logiciels au profit de l'agence du bassin hydraulique de draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"299.820,00 MAD | ", | ---,"estimation en dh ttc // réservé aux TPE et PME installées au Maroc, jeunes entreprise innovantes coopératives l'unions de coopératives et aux-auto entrepreneurs,","SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03",,Appel d'offre resérvé au pme nationales,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"5.000,00 MAD | ---"
Appel d'offres ouvert simplifié : la fourniture et pose des barrières directionnelles à la Kasbah Mehdya.,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488339.zip,- Kenitra,,,KHADIJA LAGHNIMI - Téléphone: 0662437056 - Email: khadijalaghnimi2@gmail.com - Télécopieur: 0662437056,"220.800,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/001
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 18/001 | SITE WEB | 25/08/2025 | 01/01",,National,Region de rabat-sale-kenitra / Commune urbaine de MEHDYA, | ---,"3.000,00 MAD | ---"
La consultation architecturale ouverte concernant l'élaboration des études urbanistiques du lotissement al firdaous» sis à la commune de boujdour - province de boujdour. région de laayoune sakia al hamra.,09/09/2025 11:00 | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488338.zip,- Boujdour,,,salah sakhi - Téléphone: 0528896267 - Email: municiboujdour@menara.ma - Télécopieur: 0528896268,"2.916.000,00 MAD | ", | ---,la visite des lieux est obligatoire,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/01 | L'opinion | 25/08/2025 | 19/01",,National,Region de laayoune- saguia al hamra /Province de boujdour, | ---, | ---
Travaux de déplacement des réseaux électriques HTA/BT relevant de SRM/CS au niveau de la RN1 PK308+400 au PK315+500 -Province de Ben slimane,17/09/2025 11:00 | Demander D.A.O,Oui,"Secteur Qualification Classe
J J6 1 | J | J6 | 1",,- Ben slimane,,,,"7.068.470,40 MAD | ", | ---,budget en ttc / une copie conforme à l'origine du certificat d'agrément des services de l'ONEE pour les travaux pour tiers MT/BT2 au minimum ; construction des réseaux MT-BT,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/02 | Liberation | 25/08/2025 | 17/02",,National,Caisse Pour le Financement Routier, | ---,"95.000,00 MAD | ---"
Travaux de construction de dar taliba au douar isk à la commune de tiqqi -préfecture d'agadir ida-outanane - région souss massa (1ère tranche).,--- | Demander D.A.O,Oui,,,- Agadir,,,,"9.497.401,20 MAD | ", | ---,budget en ttc -,"SUPPORT DU PAGE/COLONNE
Aujourd'hui le maroc 25/08/2025 13/01 | Aujourd'hui le maroc | 25/08/2025 | 13/01",,National,Region de souss-massa /Prefecture d'agadir ida-outanane, | ---,"180.000,00 MAD | ---"
Travaux de construction d'un seuil de recharge artificielle de la nappe a la commune d'ighil noumgoune province de tinghir,--- | Demander D.A.O,Oui,,,- Tinghir,,,,"4.526.514,00 MAD | ", | ---,estimation en dh ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03",,National,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"65.000,00 MAD | ---"
Travaux de déviation des réseaux d'eau potable au niveau de la RN1 du PK298+156 au PK315+500- Province de Benslimane,17/09/2025 10:00 | D.A.O déja demandé,Oui,"Secteur Qualification Classe
C C1 3 | C | C1 | 3",,- Ben slimane,,,,"6.675.042,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/001 | Liberation | 25/08/2025 | 17/001",,National,Caisse Pour le Financement Routier, | ---,"90.000,00 MAD | ---"
Travaux de construction d'un seuil de recharge artificielle de la nappe de fezouata dans la province de zagora,--- | Demander D.A.O,Oui,,,- Zagora,,,,"8.297.694,00 MAD | ", | ---,estimation en dh ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03",,National,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"100.000,00 MAD | ---"
Travaux d'alimentation en eau potable du site d'accueil du douar azrou sis a la commune d'aghoitim - province d'al haouz,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
5 5-1 2 | 5 | 5-1 | 2",https://global-marches.com/downoaldcps/1488330.zip,- Al haouz,,,FOAD EL ALAMI - Téléphone: 0524339720 - Email: fo.elalami@alomrane.gov.ma - Télécopieur: 0524446218,"1.197.720,00 MAD | ", | ---,voie electronique obligatoire - budget en TTC - Equipement : C1 classe 4,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/004 | L'opinion | 25/08/2025 | 16/004",,National,Holding al omrane /al omrane marrakech safi, | ---,"15.000,00 MAD | ---"
Stabilisation de la chute des roches au niveau de l'acces a la digue principale du barrage agdez - tranche 1,--- | Demander D.A.O,Oui,,,- Zagora,,,,"4.677.552,00 MAD | ", | ---,estimation en dh ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 02/03 | Les eco | 25/08/2025 | 02/03",,National,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"70.000,00 MAD | ---"
Travaux d'assainissement du site d'accueil du douar azrou sis a la commune d'aghoitim province d'al haouz,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
3 3-1 2 | 3 | 3-1 | 2",https://global-marches.com/downoaldcps/1488327.zip,- Al haouz,,,FOAD EL ALAMI - Téléphone: 0524339720 - Email: fo.elalami@alomrane.gov.ma - Télécopieur: 0524446218,"1.323.672,00 MAD | ", | ---,voie electronique obligatoire - budget en TTC - Equipement : C3 classe 4,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/001 | L'opinion | 25/08/2025 | 16/001",,National,Holding al omrane /al omrane Marrakech safi, | ---,"15.000,00 MAD | ---"
Etude de faisabilité des sites des petits barrages dans les bassins de haut et moyen draa,--- | Demander D.A.O,Oui,,,- Guelmim- Errachidia,,,,"912.000,00 MAD | ", | ---,"estimation en dh ttc // réservé aux TPE et PME installées au Maroc, jeunes entreprise innovantes coopératives l'unions de coopératives et aux-auto entrepreneurs,","SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03",,Appel d'offre resérvé au pme nationales,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"15.000,00 MAD | ---"
Consultation architecturale ouverte pour etude et assisttance technique (projet integre de construction et d'equipement d'un terrain de football au centre de la commune d'ida ougnidif ).,--- | Demander D.A.O,,,,- Chtouka ait baha,,,,"2.000.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/01 | Liberation | 25/08/2025 | 17/01",,National,Region de souss-massa / Province de chtouka ait baha, | ---, | ---
Travaux de construction d'un centre pour la protection de l'enfance a la ville de kenitra,--- | Demander D.A.O,Oui,"Secteur Qualification Classe
A A2 3 | A | A2 | 3",,- Kenitra,,,,"6.566.427,26 MAD | ", | ---,BUDGET EN TTC,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/07 | Le matin | 25/08/2025 | 09/07",,National,societe rabat region amenagement, | ---,"90.000,00 MAD | ---"
"Travaux de construction des pistes a la commune de khlalefa-zrizer , province de Taounate , région fes-meknes - la piste reliant la RN8 au niveau au douar mechkour et douar haddada ( rmilia ) a la commune de zrizer y/c la bretelle reliant la reserve proviciale chettaba et la RN8 - la piste reliant douar dchar felah et le centre de khlalfa , y compris les bretelles reliant la RR509 au douars lbabra et taounate lakchour et douar imrabtiouine a la commune de khlalefa en lot unique",--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 1
B B3 1
B B1 1 | B | B5 | 1 | B | B3 | 1 | B | B1 | 1",https://global-marches.com/downoaldcps/1488323.zip,- Taounate,,,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09,"34.478.921,98 MAD | ", | ---,budget en TTC av 1 : certificat de qualification et de classification mentionné au niveau du RC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/004
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 16/004 | SITE WEB | 25/08/2025 | 01/01",,International,Academies regionales, | ---,"400.000,00 MAD | ---"
Appel d'offres ouvert simplifié : travaux d’aménagement du centre du docteur sabban pour les enfants abandonnes a el jadida.,--- | Déjà téléchargé Ne plus suivre,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488321.zip,- El jadida,,,service budgets et marchés service budgets et marchés - Téléphone: 0523342426 - Email: bouelmarini@gmail.com - Télécopieur: 0523342426,"373.261,50 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de casablanca - settat / gouverneur d'el jadida, | ---,"7.000,00 MAD | ---"
Etudes techniques et suivi des travaux de rehabilitation de voiries et reseaux divers de la zone industrielle de skhirate,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488318.zip,- Skhirat temara,,,Tél :05 37 20 70 70 – Fax : 05.37.20.45.45) / Oussama FARS - Téléphone: 05 37 20 70 70 - Email: o.fars@rra.ma - Télécopieur: 05.37.20.45.45,"400.000,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 08/08 | Le matin | 25/08/2025 | 08/08","AGRÉMENTS
D18
D17 | D18 | D17",National,societe rabat region amenagement, | ---,"6.000,00 MAD | ---"
AO simplifié : travaux de peinture des locaux abritant les services du chef de gouvernement,--- | Demander D.A.O,Oui,,,- Rabat,,,,"446.100,00 MAD | ", | ---,"budget en TTC/ Réservé à la Très Petite, à la petite et moyenne entreprise,","SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/03 | L'opinion | 25/08/2025 | 16/03",,Appel d'offre resérvé au pme nationales,Chef du Gouvernement, | ---,"8.000,00 MAD | ---"
Assistance logistique de la police de l’eau dans la zone d’action de l’ABHBC.,--- | D.A.O déja demandé,Oui,,,- Ben slimane,,,,"299.550,00 MAD | ", | ---,"budget en ttc - réserve aux tres petites, petites et moyennes entreprises cooperatives, aux unions de cooperatives et aux autoentrepreneurs","SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/03 | Le matin | 25/08/2025 | 09/03",,Appel d'offre resérvé au pme nationales,Agence du bassin hydraulique /Agence du bassain hydraulique du bouregreg et de la chaouia, | ---,"5.000,00 MAD | ---"
Appel d'offres ouvert simplifié : Contrôle et suivi de la qualité des travaux d’entretien de la chaussée de la RP4402 entre PK0+000 et PK17+000 (Province de Larache),--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
CQ : controle de qualité CQ3 4 | CQ : controle de qualité | CQ3 | 4",https://global-marches.com/downoaldcps/1488313.zip,- Larache,bureau des marchés de la DPETL de Larache place Oued El Makhazine Larache,,MOUNIR ZAHRAOUI - Téléphone: 0660192153 - Email: zahraouimounir11@gmail.com - Télécopieur: 0539913366,"62.064,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,ministere  de l’equipement et de l’eau / le directeur provincial de l'equipement et du logistique de larache, | ---,"1.000,00 MAD | ---"
Étude de schéma directeur de renforcement et de sécurisation de l'aep des localités urbaines et rurales des provinces d'ouarzazate et de zagora.,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488312.zip,- Zagora- Ouarzazate,"Bureau des marchés (DAM), Immeuble G, Avenue Mohamed Belhassan El Ouazzani - Rabat - Maroc,",,"Ilham ES-SEMLALI - Téléphone: +212537721281 - Email: iessemlali@onee.ma - Télécopieur: +212537725566 -Tel : (+212) 0537 66 73 05 /06, Fax : (+212) 0537 66 75 13","1.440.000,00 MAD | ", | ---,budget en TTC - l'ouverture des enveloppes se fait en un seul temps,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/01
Le matin 25/08/2025 08/006 | L'opinion | 25/08/2025 | 16/01 | Le matin | 25/08/2025 | 08/006",,National,onee branche eau, | ---,"14.400,00 MAD | ---"
Appel d'offres ouvert simplifié : travaux d’aménagement et d’installation de la salle de commandement et de coordination relevant de la préfecture de police de rabat -lot unique,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488311.zip,- Rabat,"Préfecture de Police de Rabat Salé Témara Khémisset, sise, 12 Rue tarablus Rabat Hassan",,DIHAJI LAHCEN - Téléphone: 0625190843 - Email: PPRABAT.IMMO@dgsn.gov.ma - Télécopieur: 0625190843,"525.199,20 MAD | ", | 08/09/2025,budget en TTC + les documents techniques exigées par le dossier d’appel d’offres doivent être déposées au plus tard le jour ouvrable précédant la date d’ouverture des plis,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Direction generale de surete nationale / préfecture de police de rabat, | ---,"10.000,00 MAD | ---"
Nettoyage et entretien des locaux des établissements scolaires et des services administratifs relevant de la Direction Provinciale de l'AREF de Fès-Meknès à Taounate en lot unique.,--- | D.A.O déja demandé,Oui,,,- Taounate,,,,"6.121.714,72 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002",,International,Academies regionales /Direction Provinciale de Taounate, | ---,"120.000,00 MAD | ---"
Appel d'offres ouvert simplifié : Travaux d’aménagement du cimetière musulman situé à Daima Skhirate,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488309.zip,- Skhirat temara,,,MOHAMMED FAROUKH - Téléphone: 0537742891 - Email: cu.skhirat2013@gmail.com - Télécopieur: 0537742891,"499.080,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de rabat-sale-kenitra / Commune urbaine de SKHIRATE, | ---,"8.000,00 MAD | ---"
Gardiennage et surveillance des locaux des établissements scolaires et des services administratifs relevant de la Direction Provinciale de l'AREF de Fès-Meknès à Taounate en lot unique.,--- | Demander D.A.O,Oui,,,- Taounate,,,,"16.888.235,53 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002",,International,Academies regionales /Direction Provinciale de Taounate, | ---,"300.000,00 MAD | ---"
travaux de construction de dar attaliba au lotissement al boustane commune de mezraoua province de taounate.,--- | Demander D.A.O,Oui,"Secteur Qualification Classe
9 9-1 2 | 9 | 9-1 | 2",,- Taounate,,,tél. : 05 35 64 22 48/49/57 Fax : 05 35 64 22 55. Site Web : www.alomrane.gov.ma,"3.080.713,16 MAD | ", | ---,"budget en ttc - Les concurrents doivent obligatoirement déposer via le portail des marchés publics pour une soumission électronique - Secteur : A qualification : A.2 Classe : 4 - Cet appel d’offre est réservé aux petites et moyennes entreprises, aux coopératives, aux unions de coopératives et à l’auto-entrepreneur.","SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002",,Appel d'offre resérvé au pme nationales,Holding al omrane /SOCIETE AL OMRANE FES-MEKNES, | ---,"100.000,00 MAD | ---"
"Maintenance des ascenseurs, escaliers mécaniques et trottoirs roulants à l’aéroport Casablanca Mohammed V",03/09/2025 10:30 | Demander D.A.O,Oui,,,- Casablanca,,,Contact : 06 60 100 280,"10.042.800,00 MAD | ", | ---,"budget en ttc // Une visite des lieux, non obligatoire, sera organisée au profit des concurrents intéressés le mercredi 03 septembre 2025 à 10h30 à l’Aéroport Casablanca Mohammed V","SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 08/004 | Le matin | 25/08/2025 | 08/004",,National,Office national des aeroports (onda), | ---,"150.000,00 MAD | ---"
"Appel d'offres ouvert simplifié : Acquisition, installation et mise en service de firewall pour le compte du centre judiciaire el brouj, en lot unique/ province de settat.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488305.zip,- Settat,,,hanane guedira - Téléphone: 0523403121 - Email: sdrsettat@gmail.com - Télécopieur: 0523400261,"42.000,00 MAD | ", | 05/09/2025,"budget en TTC + Les prospectus exigés par le dossier d'appel d'offres doivent être déposés dans le bureau de marchés de la Direction Provinciale de la Justice de Settat, sise au quartier administratif siège du tribunal de famille de Settat au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission d’ouverture des plis.","SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ministere de la justice et des libertés / direction provinciale de la justice settat, | ---,"800,00 MAD | ---"
"la consultation architecturale ouverte, pour : Etude architecturale et suivi des travaux d’aménagement et de réhabilitation du souk hebdomadaire d’Agouray, au niveau de la commune urbaine d’Agouray, cercle d’Agouray, province d’El Hajeb.",--- | Demander D.A.O,Oui,,,- El hajeb,,,,"7.500.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/02 | Le matin | 25/08/2025 | 09/02",,National,"Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets /Direction Provinciale de l’Agriculture d'El Hajeb", | ---, | ---
Acquisition des licences Oracle Database Enterprise Edition pour 2 CPU et support éditeur Oracle,--- | Demander D.A.O,,,,- Casablanca,"’ATTAWFIQ MICRO-FINANCE à partir du 25 Août 2025 à l’adresse suivante : ATTAWFIQ MICRO-FINANCE Direction Moyens Généraux 79, Boulevard Hassan II Casablanca.",,Tél. : 0522 43 49 00, | , | ---,,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 08/04
L'economiste 25/08/2025 18/006 | Le matin | 25/08/2025 | 08/04 | L'economiste | 25/08/2025 | 18/006",,National,Attawfiq micro-finance, | ---, | ---
Travaux d’aménagement du boulevard Moulay Abdelaziz à la ville de Kenitra,--- | Demander D.A.O,Oui,,,- Kenitra,,,,"17.513.942,70 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/007 | Le matin | 25/08/2025 | 10/007",,International,Autres societes / Société kenitra amenagement et developpement, | ---,"320.000,00 MAD | ---"
Entretien et maintenance des équipements informatiques el des logiciels de la sécurité et du réseau informatique de la direction générale de la météorologie. -diverses préfectures-,11/09/2025 10:00 | Demander D.A.O,Oui,,,- Casablanca,,,,"1.402.320,00 MAD | ", | ---,Budget en ttc,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/01
Le matin 25/08/2025 08/05 | Liberation | 25/08/2025 | 18/01 | Le matin | 25/08/2025 | 08/05",,International,ministere  de l’equipement et de l’eau /Direction genérale de la météorologie, | ---,"25.000,00 MAD | ---"
"L’elaboration des études architecturales et suivi des travaux de construction d’une unite equestre de la gendarmerie royale au niveau de la zun ibn batoutasis a la commune de gzenaya, tanger.",--- | Demander D.A.O,,,,- Tanger assila,,,,"3.040.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/05 | Le matin | 25/08/2025 | 10/05",,National,Holding al omrane / Al omrane tanger-tetouan – al hoceima, | ---, | ---
Travaux de revêtement de la route reliant la RN 2 et Douar Oulad Mallouk à la commune de Mtalssa- Province de Driouch.,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 5 | B | B5 | 5",https://global-marches.com/downoaldcps/1488297.zip,- Driouch,,,MOSTAPHA EL MOUHOUTI - Téléphone: 0661826128 - Email: mostaphaelmouhouti70@gmail.com - Télécopieur: 0536367912,"299.520,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01
Liberation 25/08/2025 16/001 | SITE WEB | 25/08/2025 | 01/01 | Liberation | 25/08/2025 | 16/001",,National,Region de l'oriental / Province de Driouch., | ---,"5.000,00 MAD | ---"
Travaux de construction du siège commune territoriale bni-m'hamed sijilmassa province errachidia en lot unique,--- | Demander D.A.O,Oui,,,- Errachidia,,,,"4.431.862,80 MAD | ", | ---,estimation en dh ttc,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/06 | Liberation | 25/08/2025 | 17/06",,National,Region de draa - tafilalet /Province d'errachidia commune de bni-m'hamed sijilmassa, | ---,"88.000,00 MAD | ---"
Travaux d’extension du réseau électrique aux foyers non servis en électricité à la commune Mfassis Province Khouribga,--- | Demander D.A.O,Oui,,,- Khouribga,,,,"1.180.215,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/004 | Le matin | 25/08/2025 | 10/004",,National,Region de Beni mellal - khenifra / Province de khouribga, | ---,"20.000,00 MAD | ---"
Travaux d'extension du Réseau d’eau potable et Construction des Bornes fontaines à la commune mfassis Province khouribga,--- | Demander D.A.O,Oui,,,- Khouribga,,,,"1.824.888,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/003 | Le matin | 25/08/2025 | 10/003",,National,Region de Beni mellal - khenifra / Province de khouribga, | ---,"33.000,00 MAD | ---"
"Etude architecturale et suivi de travaux de construction d’un complexe socio-sportif de proximite type (a) a la commune oulad mkoudou, province de sefrou",--- | Demander D.A.O,,,,- Sefrou,,,ZAKARIA BAHOU - Téléphone: 0535660043 - Email: bahou.zakaria@gmail.com - Télécopieur: 0535660043,"7.000.000,00 MAD | ", | ---,les informations à vérifier,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ministere de la jeunesse de la culture et de la communication /DELEGUE PROVINCIAL DE LA JEUNESSE ET SPORTS DE SEFROU, | ---, | ---
Acquisition de deux véhicules fourgon équipé par cage (opération lutte contre les chiens errants),--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488292.zip,- Marrakech,Service des Marchés Commune de Marrakech l'annexe AV Mohammed VI Marrakech.,,Khadija GUERROUR - Téléphone: 06 61 11 15 06 - Email: guerrourcum2022@gmail.com - Télécopieur: 05 24 43 56 66,"528.000,00 MAD | ", | 16/09/2025,budget en TTC + Les fiches techniques originales des articles exigés au dossier d’appel d’offre doivent être déposés dans la division des services et logistique(Service Logistique : Parc communal ) de la Commune de Marrakech sis à rue El Ordone – Marrakech au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission des plis,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de marrakech- safi / Commune urbaine de MARRAKECH, | ---,"10.500,00 MAD | ---"
"La réalisation des Études techniques et suivi des travaux d’achèvement de la construction TCE de l’opération « AL MENZEH II C », relevant de la commune territoriale d’Agadir, préfecture d’Agadir Ida-Outanane",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488290.zip,- Agadir,,,Mouna EL ALAOUI - Téléphone: 05 28 84 12 10 - Email: mo.elalaoui@alomrane.gov.ma - Télécopieur: 05 28 82 34 99,"144.000,00 MAD | ", | ---,budget en ttc // Les concurrents doivent obligatoirement déposer leurs plis et offres électroniquement,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/001
Les eco 25/08/2025 17/02 | Le matin | 25/08/2025 | 10/001 | Les eco | 25/08/2025 | 17/02","AGRÉMENTS
D14
D15
D16 | D14 | D15 | D16",National,Holding al omrane / Societe al omrane souss massa, | ---,"2.000,00 MAD | ---"
La réalisation des travaux de mise a niveau de l'entrée nord a la ville de tarfaya.,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488289.zip,- Tarfaya,,,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269,"16.317.000,00 MAD | ", | ---,budget en TTC - dépôt électronique obligatoire // av 1 : la date limite à vérifier entre 19/09/2025 et 26/09/2025,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 19/004
SITE WEB 25/08/2025 01/01 | Le matin | 25/08/2025 | 19/004 | SITE WEB | 25/08/2025 | 01/01",,National,Region de laayoune- saguia al hamra / Province tarfaya, | ---,"300.000,00 MAD | ---"
Travaux de désensablement et d’aménagement de la corniche de tarfaya,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488288.zip,- Tarfaya,bureau des marchés de la commune de tarfaya,,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269,"2.590.100,00 MAD | ", | ---,budget en TTC - dépôt électronique obligatoire,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 19/04 | Le matin | 25/08/2025 | 19/04",,National,Region de laayoune- saguia al hamra /Province tarfaya commune tarfaya, | ---,"50.000,00 MAD | ---"
"avis d'appel d'offres ouvert international a majoration : le conseil et l’achat d’espace auprès des supports digitaux, en lot unique.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488287.zip,- Rabat,,,SOUFIANE BELABD - Téléphone: 0626890668 - Email: belabd@narsa.gov.ma - Télécopieur: 0537716953,"5.871.000,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/02
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 19/02 | SITE WEB | 25/08/2025 | 01/01",,International,NARSA, | ---,"100.000,00 MAD | ---"
