Secteur ,Mode paiement ,Support,Budget ,Visite des lieux ,Type ,Allotissement ,Mt caution ,Organisme ,Obsérvation ,Téléchargement,Contact ,Montant retrait ,Soumission électronique ,Ville d'exécution ,Domaine ,Objet ,Adresse retrait 
"Secteur Qualification Classe
B B6 5 | B | B6 | 5", | 22/09/2025,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/03 | L'opinion | 25/08/2025 | 19/03","1.419.000,00 MAD | ",--- | Demander D.A.O,National,,"28.000,00 MAD | ---",Region de fes - meknes /Province d'ifrane,budget et caution en TTC - les documents techniques doivent etre déposés au plus tard le jour ouvrable précédant la date d'ouverture des plis ( à vérifier ),,, | ---,Oui,- Ifrane,,Projets intégrés de restructuration des quartiers sous equipés (travaux d'enrobés).,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03","299.820,00 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"5.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,"estimation en dh ttc // réservé aux TPE et PME installées au Maroc, jeunes entreprise innovantes coopératives l'unions de coopératives et aux-auto entrepreneurs,",,, | ---,Oui,- Guelmim,,Achat de matériels informatiques et de logiciels au profit de l'agence du bassin hydraulique de draa oued noun,
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/001
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 18/001 | SITE WEB | 25/08/2025 | 01/01","220.800,00 MAD | ",--- | Télécharger D.A.O,National,,"3.000,00 MAD | ---",Region de rabat-sale-kenitra / Commune urbaine de MEHDYA,budget en TTC,https://global-marches.com/downoaldcps/1488339.zip,KHADIJA LAGHNIMI - Téléphone: 0662437056 - Email: khadijalaghnimi2@gmail.com - Télécopieur: 0662437056, | ---,Oui Cliquer ici,- Kenitra,,Appel d'offres ouvert simplifié : la fourniture et pose des barrières directionnelles à la Kasbah Mehdya.,
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/01 | L'opinion | 25/08/2025 | 19/01","2.916.000,00 MAD | ",09/09/2025 11:00 | Télécharger D.A.O,National,, | ---,Region de laayoune- saguia al hamra /Province de boujdour,la visite des lieux est obligatoire,https://global-marches.com/downoaldcps/1488338.zip,salah sakhi - Téléphone: 0528896267 - Email: municiboujdour@menara.ma - Télécopieur: 0528896268, | ---,,- Boujdour,,La consultation architecturale ouverte concernant l'élaboration des études urbanistiques du lotissement al firdaous» sis à la commune de boujdour - province de boujdour. région de laayoune sakia al hamra.,
"Secteur Qualification Classe
J J6 1 | J | J6 | 1", | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/02 | Liberation | 25/08/2025 | 17/02","7.068.470,40 MAD | ",17/09/2025 11:00 | Demander D.A.O,National,,"95.000,00 MAD | ---",Caisse Pour le Financement Routier,budget en ttc / une copie conforme à l'origine du certificat d'agrément des services de l'ONEE pour les travaux pour tiers MT/BT2 au minimum ; construction des réseaux MT-BT,,, | ---,Oui,- Ben slimane,,Travaux de déplacement des réseaux électriques HTA/BT relevant de SRM/CS au niveau de la RN1 PK308+400 au PK315+500 -Province de Ben slimane,
, | ---,"SUPPORT DU PAGE/COLONNE
Aujourd'hui le maroc 25/08/2025 13/01 | Aujourd'hui le maroc | 25/08/2025 | 13/01","9.497.401,20 MAD | ",--- | Demander D.A.O,National,,"180.000,00 MAD | ---",Region de souss-massa /Prefecture d'agadir ida-outanane,budget en ttc -,,, | ---,Oui,- Agadir,,Travaux de construction de dar taliba au douar isk à la commune de tiqqi -préfecture d'agadir ida-outanane - région souss massa (1ère tranche).,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03","4.526.514,00 MAD | ",--- | Demander D.A.O,National,,"65.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,estimation en dh ttc,,, | ---,Oui,- Tinghir,,Travaux de construction d'un seuil de recharge artificielle de la nappe a la commune d'ighil noumgoune province de tinghir,
"Secteur Qualification Classe
C C1 3 | C | C1 | 3", | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/001 | Liberation | 25/08/2025 | 17/001","6.675.042,00 MAD | ",17/09/2025 10:00 | D.A.O déja demandé,National,,"90.000,00 MAD | ---",Caisse Pour le Financement Routier,budget en ttc,,, | ---,Oui,- Ben slimane,,Travaux de déviation des réseaux d'eau potable au niveau de la RN1 du PK298+156 au PK315+500- Province de Benslimane,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03","8.297.694,00 MAD | ",--- | Demander D.A.O,National,,"100.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,estimation en dh ttc,,, | ---,Oui,- Zagora,,Travaux de construction d'un seuil de recharge artificielle de la nappe de fezouata dans la province de zagora,
"Secteur Qualification Classe
5 5-1 2 | 5 | 5-1 | 2", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/004 | L'opinion | 25/08/2025 | 16/004","1.197.720,00 MAD | ",--- | Télécharger D.A.O,National,,"15.000,00 MAD | ---",Holding al omrane /al omrane marrakech safi,voie electronique obligatoire - budget en TTC - Equipement : C1 classe 4,https://global-marches.com/downoaldcps/1488330.zip,FOAD EL ALAMI - Téléphone: 0524339720 - Email: fo.elalami@alomrane.gov.ma - Télécopieur: 0524446218, | ---,Oui Cliquer ici,- Al haouz,,Travaux d'alimentation en eau potable du site d'accueil du douar azrou sis a la commune d'aghoitim - province d'al haouz,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 02/03 | Les eco | 25/08/2025 | 02/03","4.677.552,00 MAD | ",--- | Demander D.A.O,National,,"70.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,estimation en dh ttc,,, | ---,Oui,- Zagora,,Stabilisation de la chute des roches au niveau de l'acces a la digue principale du barrage agdez - tranche 1,
"Secteur Qualification Classe
3 3-1 2 | 3 | 3-1 | 2", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/001 | L'opinion | 25/08/2025 | 16/001","1.323.672,00 MAD | ",--- | Télécharger D.A.O,National,,"15.000,00 MAD | ---",Holding al omrane /al omrane Marrakech safi,voie electronique obligatoire - budget en TTC - Equipement : C3 classe 4,https://global-marches.com/downoaldcps/1488327.zip,FOAD EL ALAMI - Téléphone: 0524339720 - Email: fo.elalami@alomrane.gov.ma - Télécopieur: 0524446218, | ---,Oui Cliquer ici,- Al haouz,,Travaux d'assainissement du site d'accueil du douar azrou sis a la commune d'aghoitim province d'al haouz,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 05/03 | Les eco | 25/08/2025 | 05/03","912.000,00 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"15.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,"estimation en dh ttc // réservé aux TPE et PME installées au Maroc, jeunes entreprise innovantes coopératives l'unions de coopératives et aux-auto entrepreneurs,",,, | ---,Oui,- Guelmim- Errachidia,,Etude de faisabilité des sites des petits barrages dans les bassins de haut et moyen draa,
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/01 | Liberation | 25/08/2025 | 17/01","2.000.000,00 MAD | ",--- | Demander D.A.O,National,, | ---,Region de souss-massa / Province de chtouka ait baha,,,, | ---,,- Chtouka ait baha,,Consultation architecturale ouverte pour etude et assisttance technique (projet integre de construction et d'equipement d'un terrain de football au centre de la commune d'ida ougnidif ).,
"Secteur Qualification Classe
A A2 3 | A | A2 | 3", | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/07 | Le matin | 25/08/2025 | 09/07","6.566.427,26 MAD | ",--- | Demander D.A.O,National,,"90.000,00 MAD | ---",societe rabat region amenagement,BUDGET EN TTC,,, | ---,Oui,- Kenitra,,Travaux de construction d'un centre pour la protection de l'enfance a la ville de kenitra,
"Secteur Qualification Classe
B B5 1
B B3 1
B B1 1 | B | B5 | 1 | B | B3 | 1 | B | B1 | 1", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/004
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 16/004 | SITE WEB | 25/08/2025 | 01/01","34.478.921,98 MAD | ",--- | Télécharger D.A.O,International,,"400.000,00 MAD | ---",Academies regionales,budget en TTC av 1 : certificat de qualification et de classification mentionné au niveau du RC,https://global-marches.com/downoaldcps/1488323.zip,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09, | ---,Oui Cliquer ici,- Taounate,,"Travaux de construction des pistes a la commune de khlalefa-zrizer , province de Taounate , région fes-meknes - la piste reliant la RN8 au niveau au douar mechkour et douar haddada ( rmilia ) a la commune de zrizer y/c la bretelle reliant la reserve proviciale chettaba et la RN8 - la piste reliant douar dchar felah et le centre de khlalfa , y compris les bretelles reliant la RR509 au douars lbabra et taounate lakchour et douar imrabtiouine a la commune de khlalefa en lot unique",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","373.261,50 MAD | ",--- | Déjà téléchargé Ne plus suivre,National,,"7.000,00 MAD | ---",Region de casablanca - settat / gouverneur d'el jadida,budget en TTC,https://global-marches.com/downoaldcps/1488321.zip,service budgets et marchés service budgets et marchés - Téléphone: 0523342426 - Email: bouelmarini@gmail.com - Télécopieur: 0523342426, | ---,Oui Cliquer ici,- El jadida,,Appel d'offres ouvert simplifié : travaux d’aménagement du centre du docteur sabban pour les enfants abandonnes a el jadida.,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 08/08 | Le matin | 25/08/2025 | 08/08","400.000,00 MAD | ",--- | Télécharger D.A.O,National,,"6.000,00 MAD | ---",societe rabat region amenagement,budget en ttc,https://global-marches.com/downoaldcps/1488318.zip,Tél :05 37 20 70 70 – Fax : 05.37.20.45.45) / Oussama FARS - Téléphone: 05 37 20 70 70 - Email: o.fars@rra.ma - Télécopieur: 05.37.20.45.45, | ---,Oui Cliquer ici,- Skhirat temara,"AGRÉMENTS
D18
D17 | D18 | D17",Etudes techniques et suivi des travaux de rehabilitation de voiries et reseaux divers de la zone industrielle de skhirate,
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/03 | L'opinion | 25/08/2025 | 16/03","446.100,00 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"8.000,00 MAD | ---",Chef du Gouvernement,"budget en TTC/ Réservé à la Très Petite, à la petite et moyenne entreprise,",,, | ---,Oui,- Rabat,,AO simplifié : travaux de peinture des locaux abritant les services du chef de gouvernement,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/03 | Le matin | 25/08/2025 | 09/03","299.550,00 MAD | ",--- | D.A.O déja demandé,Appel d'offre resérvé au pme nationales,,"5.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassain hydraulique du bouregreg et de la chaouia,"budget en ttc - réserve aux tres petites, petites et moyennes entreprises cooperatives, aux unions de cooperatives et aux autoentrepreneurs",,, | ---,Oui,- Ben slimane,,Assistance logistique de la police de l’eau dans la zone d’action de l’ABHBC.,
"Secteur Qualification Classe
CQ : controle de qualité CQ3 4 | CQ : controle de qualité | CQ3 | 4", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","62.064,00 MAD | ",--- | Télécharger D.A.O,National,,"1.000,00 MAD | ---",ministere  de l’equipement et de l’eau / le directeur provincial de l'equipement et du logistique de larache,budget en TTC,https://global-marches.com/downoaldcps/1488313.zip,MOUNIR ZAHRAOUI - Téléphone: 0660192153 - Email: zahraouimounir11@gmail.com - Télécopieur: 0539913366, | ---,Oui Cliquer ici,- Larache,,Appel d'offres ouvert simplifié : Contrôle et suivi de la qualité des travaux d’entretien de la chaussée de la RP4402 entre PK0+000 et PK17+000 (Province de Larache),bureau des marchés de la DPETL de Larache place Oued El Makhazine Larache
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 16/01
Le matin 25/08/2025 08/006 | L'opinion | 25/08/2025 | 16/01 | Le matin | 25/08/2025 | 08/006","1.440.000,00 MAD | ",--- | Télécharger D.A.O,National,,"14.400,00 MAD | ---",onee branche eau,budget en TTC - l'ouverture des enveloppes se fait en un seul temps,https://global-marches.com/downoaldcps/1488312.zip,"Ilham ES-SEMLALI - Téléphone: +212537721281 - Email: iessemlali@onee.ma - Télécopieur: +212537725566 -Tel : (+212) 0537 66 73 05 /06, Fax : (+212) 0537 66 75 13", | ---,Oui Cliquer ici,- Zagora- Ouarzazate,,Étude de schéma directeur de renforcement et de sécurisation de l'aep des localités urbaines et rurales des provinces d'ouarzazate et de zagora.,"Bureau des marchés (DAM), Immeuble G, Avenue Mohamed Belhassan El Ouazzani - Rabat - Maroc,"
, | 08/09/2025,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","525.199,20 MAD | ",--- | Télécharger D.A.O,National,,"10.000,00 MAD | ---",Direction generale de surete nationale / préfecture de police de rabat,budget en TTC + les documents techniques exigées par le dossier d’appel d’offres doivent être déposées au plus tard le jour ouvrable précédant la date d’ouverture des plis,https://global-marches.com/downoaldcps/1488311.zip,DIHAJI LAHCEN - Téléphone: 0625190843 - Email: PPRABAT.IMMO@dgsn.gov.ma - Télécopieur: 0625190843, | ---,Oui Cliquer ici,- Rabat,,Appel d'offres ouvert simplifié : travaux d’aménagement et d’installation de la salle de commandement et de coordination relevant de la préfecture de police de rabat -lot unique,"Préfecture de Police de Rabat Salé Témara Khémisset, sise, 12 Rue tarablus Rabat Hassan"
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002","6.121.714,72 MAD | ",--- | D.A.O déja demandé,International,,"120.000,00 MAD | ---",Academies regionales /Direction Provinciale de Taounate,budget en ttc,,, | ---,Oui,- Taounate,,Nettoyage et entretien des locaux des établissements scolaires et des services administratifs relevant de la Direction Provinciale de l'AREF de Fès-Meknès à Taounate en lot unique.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","499.080,00 MAD | ",--- | Télécharger D.A.O,National,,"8.000,00 MAD | ---",Region de rabat-sale-kenitra / Commune urbaine de SKHIRATE,budget en TTC,https://global-marches.com/downoaldcps/1488309.zip,MOHAMMED FAROUKH - Téléphone: 0537742891 - Email: cu.skhirat2013@gmail.com - Télécopieur: 0537742891, | ---,Oui Cliquer ici,- Skhirat temara,,Appel d'offres ouvert simplifié : Travaux d’aménagement du cimetière musulman situé à Daima Skhirate,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002","16.888.235,53 MAD | ",--- | Demander D.A.O,International,,"300.000,00 MAD | ---",Academies regionales /Direction Provinciale de Taounate,budget en ttc,,, | ---,Oui,- Taounate,,Gardiennage et surveillance des locaux des établissements scolaires et des services administratifs relevant de la Direction Provinciale de l'AREF de Fès-Meknès à Taounate en lot unique.,
"Secteur Qualification Classe
9 9-1 2 | 9 | 9-1 | 2", | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/002 | Le matin | 25/08/2025 | 09/002","3.080.713,16 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"100.000,00 MAD | ---",Holding al omrane /SOCIETE AL OMRANE FES-MEKNES,"budget en ttc - Les concurrents doivent obligatoirement déposer via le portail des marchés publics pour une soumission électronique - Secteur : A qualification : A.2 Classe : 4 - Cet appel d’offre est réservé aux petites et moyennes entreprises, aux coopératives, aux unions de coopératives et à l’auto-entrepreneur.",,tél. : 05 35 64 22 48/49/57 Fax : 05 35 64 22 55. Site Web : www.alomrane.gov.ma, | ---,Oui,- Taounate,,travaux de construction de dar attaliba au lotissement al boustane commune de mezraoua province de taounate.,
, | 05/09/2025,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","42.000,00 MAD | ",--- | Télécharger D.A.O,National,,"800,00 MAD | ---",Ministere de la justice et des libertés / direction provinciale de la justice settat,"budget en TTC + Les prospectus exigés par le dossier d'appel d'offres doivent être déposés dans le bureau de marchés de la Direction Provinciale de la Justice de Settat, sise au quartier administratif siège du tribunal de famille de Settat au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission d’ouverture des plis.",https://global-marches.com/downoaldcps/1488305.zip,hanane guedira - Téléphone: 0523403121 - Email: sdrsettat@gmail.com - Télécopieur: 0523400261, | ---,Oui Cliquer ici,- Settat,,"Appel d'offres ouvert simplifié : Acquisition, installation et mise en service de firewall pour le compte du centre judiciaire el brouj, en lot unique/ province de settat.",
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 09/02 | Le matin | 25/08/2025 | 09/02","7.500.000,00 MAD | ",--- | Demander D.A.O,National,, | ---,"Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets /Direction Provinciale de l’Agriculture d'El Hajeb",,,, | ---,Oui,- El hajeb,,"la consultation architecturale ouverte, pour : Etude architecturale et suivi des travaux d’aménagement et de réhabilitation du souk hebdomadaire d’Agouray, au niveau de la commune urbaine d’Agouray, cercle d’Agouray, province d’El Hajeb.",
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 08/04
L'economiste 25/08/2025 18/006 | Le matin | 25/08/2025 | 08/04 | L'economiste | 25/08/2025 | 18/006", | ,--- | Demander D.A.O,National,, | ---,Attawfiq micro-finance,,,Tél. : 0522 43 49 00, | ---,,- Casablanca,,Acquisition des licences Oracle Database Enterprise Edition pour 2 CPU et support éditeur Oracle,"’ATTAWFIQ MICRO-FINANCE à partir du 25 Août 2025 à l’adresse suivante : ATTAWFIQ MICRO-FINANCE Direction Moyens Généraux 79, Boulevard Hassan II Casablanca."
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/007 | Le matin | 25/08/2025 | 10/007","17.513.942,70 MAD | ",--- | Demander D.A.O,International,,"320.000,00 MAD | ---",Autres societes / Société kenitra amenagement et developpement,budget en ttc,,, | ---,Oui,- Kenitra,,Travaux d’aménagement du boulevard Moulay Abdelaziz à la ville de Kenitra,
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/01
Le matin 25/08/2025 08/05 | Liberation | 25/08/2025 | 18/01 | Le matin | 25/08/2025 | 08/05","1.402.320,00 MAD | ",11/09/2025 10:00 | Demander D.A.O,International,,"25.000,00 MAD | ---",ministere  de l’equipement et de l’eau /Direction genérale de la météorologie,Budget en ttc,,, | ---,Oui,- Casablanca,,Entretien et maintenance des équipements informatiques el des logiciels de la sécurité et du réseau informatique de la direction générale de la météorologie. -diverses préfectures-,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/05 | Le matin | 25/08/2025 | 10/05","3.040.000,00 MAD | ",--- | Demander D.A.O,National,, | ---,Holding al omrane / Al omrane tanger-tetouan – al hoceima,,,, | ---,,- Tanger assila,,"L’elaboration des études architecturales et suivi des travaux de construction d’une unite equestre de la gendarmerie royale au niveau de la zun ibn batoutasis a la commune de gzenaya, tanger.",
"Secteur Qualification Classe
B B5 5 | B | B5 | 5", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01
Liberation 25/08/2025 16/001 | SITE WEB | 25/08/2025 | 01/01 | Liberation | 25/08/2025 | 16/001","299.520,00 MAD | ",--- | Télécharger D.A.O,National,,"5.000,00 MAD | ---",Region de l'oriental / Province de Driouch.,budget en ttc,https://global-marches.com/downoaldcps/1488297.zip,MOSTAPHA EL MOUHOUTI - Téléphone: 0661826128 - Email: mostaphaelmouhouti70@gmail.com - Télécopieur: 0536367912, | ---,Oui Cliquer ici,- Driouch,,Travaux de revêtement de la route reliant la RN 2 et Douar Oulad Mallouk à la commune de Mtalssa- Province de Driouch.,
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/06 | Liberation | 25/08/2025 | 17/06","4.431.862,80 MAD | ",--- | Demander D.A.O,National,,"88.000,00 MAD | ---",Region de draa - tafilalet /Province d'errachidia commune de bni-m'hamed sijilmassa,estimation en dh ttc,,, | ---,Oui,- Errachidia,,Travaux de construction du siège commune territoriale bni-m'hamed sijilmassa province errachidia en lot unique,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/004 | Le matin | 25/08/2025 | 10/004","1.180.215,00 MAD | ",--- | Demander D.A.O,National,,"20.000,00 MAD | ---",Region de Beni mellal - khenifra / Province de khouribga,budget en ttc,,, | ---,Oui,- Khouribga,,Travaux d’extension du réseau électrique aux foyers non servis en électricité à la commune Mfassis Province Khouribga,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/003 | Le matin | 25/08/2025 | 10/003","1.824.888,00 MAD | ",--- | Demander D.A.O,National,,"33.000,00 MAD | ---",Region de Beni mellal - khenifra / Province de khouribga,budget en ttc,,, | ---,Oui,- Khouribga,,Travaux d'extension du Réseau d’eau potable et Construction des Bornes fontaines à la commune mfassis Province khouribga,
, | 16/09/2025,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","528.000,00 MAD | ",--- | Télécharger D.A.O,National,,"10.500,00 MAD | ---",Region de marrakech- safi / Commune urbaine de MARRAKECH,budget en TTC + Les fiches techniques originales des articles exigés au dossier d’appel d’offre doivent être déposés dans la division des services et logistique(Service Logistique : Parc communal ) de la Commune de Marrakech sis à rue El Ordone – Marrakech au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission des plis,https://global-marches.com/downoaldcps/1488292.zip,Khadija GUERROUR - Téléphone: 06 61 11 15 06 - Email: guerrourcum2022@gmail.com - Télécopieur: 05 24 43 56 66, | ---,Oui Cliquer ici,- Marrakech,,Acquisition de deux véhicules fourgon équipé par cage (opération lutte contre les chiens errants),Service des Marchés Commune de Marrakech l'annexe AV Mohammed VI Marrakech.
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 10/001
Les eco 25/08/2025 17/02 | Le matin | 25/08/2025 | 10/001 | Les eco | 25/08/2025 | 17/02","144.000,00 MAD | ",--- | Demander D.A.O,National,,"2.000,00 MAD | ---",Holding al omrane / Societe al omrane souss massa,budget en ttc // Les concurrents doivent obligatoirement déposer leurs plis et offres électroniquement,,, | ---,Oui,- Agadir,"AGRÉMENTS
D16
D15
D14 | D16 | D15 | D14","La réalisation des Études techniques et suivi des travaux d’achèvement de la construction TCE de l’opération « AL MENZEH II C », relevant de la commune territoriale d’Agadir, préfecture d’Agadir Ida-Outanane",
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 19/004
SITE WEB 25/08/2025 01/01 | Le matin | 25/08/2025 | 19/004 | SITE WEB | 25/08/2025 | 01/01","16.317.000,00 MAD | ",--- | Télécharger D.A.O,National,,"300.000,00 MAD | ---",Region de laayoune- saguia al hamra / Province tarfaya,budget en TTC - dépôt électronique obligatoire // av 1 : la date limite à vérifier entre 19/09/2025 et 26/09/2025,https://global-marches.com/downoaldcps/1488289.zip,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269, | ---,Oui Cliquer ici,- Tarfaya,,La réalisation des travaux de mise a niveau de l'entrée nord a la ville de tarfaya.,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 19/04 | Le matin | 25/08/2025 | 19/04","2.590.100,00 MAD | ",--- | Télécharger D.A.O,National,,"50.000,00 MAD | ---",Region de laayoune- saguia al hamra /Province tarfaya commune tarfaya,budget en TTC - dépôt électronique obligatoire,https://global-marches.com/downoaldcps/1488288.zip,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269, | ---,Oui Cliquer ici,- Tarfaya,,Travaux de désensablement et d’aménagement de la corniche de tarfaya,bureau des marchés de la commune de tarfaya
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 19/02
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 19/02 | SITE WEB | 25/08/2025 | 01/01","5.871.000,00 MAD | ",--- | Télécharger D.A.O,International,,"100.000,00 MAD | ---",NARSA,budget en TTC,https://global-marches.com/downoaldcps/1488287.zip,SOUFIANE BELABD - Téléphone: 0626890668 - Email: belabd@narsa.gov.ma - Télécopieur: 0537716953, | ---,Oui Cliquer ici,- Rabat,,"avis d'appel d'offres ouvert international a majoration : le conseil et l’achat d’espace auprès des supports digitaux, en lot unique.",
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/01 | Liberation | 25/08/2025 | 17/01","3.059.040,00 MAD | ",--- | Télécharger D.A.O,International,,"45.000,00 MAD | ---",Centres hospitaliers de la region de souss-massa /Centre hospitalo-universitaire souss massa,estimation en dh ttc,https://global-marches.com/downoaldcps/1488286.zip,EL MEHDI KERBID - Téléphone: 0661585952 - Email: mkerbid@gmail.com - Télécopieur: 0528820041, | ---,Oui Cliquer ici,- Agadir,,Acquisition et mise en place d'une solution hypercorrection pour le compte du chu souss massa (lot unique),
"Secteur Qualification Classe
A A2 2 | A | A2 | 2", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01", | ,--- | Télécharger D.A.O,National,,"294.000,00 MAD | ---",Ministère des Habous et des Affaires islamiques /Direction des Mosquées,av 1: certificat d'agrément et de qualification mentionné au niveau de RC,https://global-marches.com/downoaldcps/1488283.zip,JAWAHIR ABOURACHID - Téléphone: 05.37.66.86.77 - Email: jawahir.mhai@gmail.com - Télécopieur: 05.37.66.86.16, | ---,,- Ville etrangere,,"l’achevement des travaux de construction d’une mosquée et ses dépendances a l’universite de chenguite en mauritanie, en lot unique.","service des marchés des travaux et de fournitures de la direction des mosquées du Ministère des Habous et des Affaires Islamiques – Mechouar Essaîd, Rabat"
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/05
SITE WEB 25/08/2025 01/01 | Liberation | 25/08/2025 | 17/05 | SITE WEB | 25/08/2025 | 01/01","419.940,00 MAD | ",--- | Télécharger D.A.O,National,,"7.000,00 MAD | ---",Region de souss-massa / Commune de OUED ESSAFA,budget en TTC,https://global-marches.com/downoaldcps/1488280.zip,BERYAN MOHAMED - Téléphone: 0528818012 - Email: ouedessafa@gmail.com - Télécopieur: champsvide, | ---,Oui Cliquer ici,- Chtouka ait baha,,"Achat des plaques d’énergie solaire pour les stations de pompage d’eau potable aux douars : AIT HROUK, TIN KHAZAZ et AIT DAOUD à la commune OUED ESSAFA Province Chtouka Ait Baha.",Au bureau de Président de la Commune Territoriale Oued Essafa (Service Des marchés) .
